"Supplementary Table 2: Description of the 1,893 libraries that comprise the mammalian evo-devo resource "														
														
library ID	Used library?	Species (strain)	Organ	Developmental stage	Sex	Sequencing runs (machine run lane)	Stage (detail)	Total number reads	Total number aligned reads	% aligned reads	Extraction protocol	RQN	RIN	HDBR ID
1638	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	P0	Female	OBIWAN 43 lane 6	P0	30259330	28784411	95%	QIAgen RNeasy QIAzol	8.7	NA	NA
1639	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	P0	Female	OBIWAN 42 lane 7	P0	208991160	194398876	93%	QIAgen RNeasy QIAzol	9.1	NA	NA
1640	yes	Chicken (red junglefowl)	Heart	P0	Female	VADER 177 lane 7	P0	34190033	33064894	97%	QIAgen RNeasy QIAzol	8.6	NA	NA
1641	yes	Chicken (red junglefowl)	Kidney	P0	Female	OBIWAN 94 lane 1	P0	27328163	26175336	96%	QIAgen RNeasy QIAzol	8.4	NA	NA
1642	yes	Chicken (red junglefowl)	Liver	P0	Female	VADER 126 lane 2	P0	28316023	27370470	97%	QIAgen RNeasy QIAzol	8.9	NA	NA
1643	yes	Chicken (red junglefowl)	Ovary	P0	Female	VADER 126 lane 3	P0	18257081	17365828	95%	QIAgen RNeasy QIAzol	8.1	NA	NA
1658	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	P0	Male	OBIWAN 42 lane 6	P0	37540864	34848026	93%	QIAgen RNeasy QIAzol	8.9	NA	NA
1659	yes	Chicken (red junglefowl)	Heart	P0	Male	OBIWAN 94 lane 1	P0	35877656	34989423	98%	QIAgen RNeasy QIAzol	8.3	NA	NA
1660	yes	Chicken (red junglefowl)	Kidney	P0	Male	OBIWAN 94 lane 1	P0	32933427	31615799	96%	QIAgen RNeasy QIAzol	8.3	NA	NA
1661	yes	Chicken (red junglefowl)	Liver	P0	Male	OBIWAN 47 lane 6	P0	29752995	28698441	96%	QIAgen RNeasy QIAzol	8.6	NA	NA
1662	yes	Chicken (red junglefowl)	Testis	P0	Male	VADER 126 lane 1	P0	29179018	27962497	96%	QIAgen RNeasy QIAzol	8.6	NA	NA
1806	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	P0	Male	OBIWAN 100 lane 3 / VADER 126 lane 8	P0	49780959	48004527	96%	QIAgen RNeasy QIAzol	NA	10	NA
554	yes	Chicken (red junglefowl)	Liver	P155	Male	OBIWAN 111 lane 5	P155	46648286	45335636	97%	QIAgen RNeasy QIAzol	NA	9.2	NA
555	yes	Chicken (red junglefowl)	Kidney	P155	Male	VADER 189 lane 8	P155	35946791	34016507	95%	QIAgen RNeasy QIAzol	NA	9.1	NA
558	yes	Chicken (red junglefowl)	Liver	P155	Female	VADER 189 lane 8	P155	41014601	39104311	95%	QIAgen RNeasy QIAzol	NA	8.9	NA
559	yes	Chicken (red junglefowl)	Kidney	P155	Female	VADER 189 lane 8	P155	47497964	44865046	94%	QIAgen RNeasy QIAzol	NA	9.3	NA
560	yes	Chicken (red junglefowl)	Heart	P155	Female	VADER 189 lane 8	P155	38640619	36938352	96%	QIAgen RNeasy QIAzol	NA	9	NA
561	yes	Chicken (red junglefowl)	Ovary	P155	Female	VADER 189 lane 8	P155	38931935	36678379	94%	QIAgen RNeasy QIAzol	NA	9.2	NA
577	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	P155	Female	VADER 191 lane 7	P155	34366773	33035987	96%	QIAgen RNeasy QIAzol	NA	9.4	NA
578	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	P155	Female	VADER 189 lane 8	P155	49672381	46922882	94%	QIAgen RNeasy QIAzol	NA	9.6	NA
642	yes	Chicken (red junglefowl)	Testis	P155	Male	VADER 191 lane 7	P155	44619248	42954394	96%	QIAgen RNeasy QIAzol	NA	8.6	NA
650	yes	Chicken (red junglefowl)	Heart	P155	Male	OBIWAN 111 lane 2	P155	36099990	35560834	99%	QIAgen RNeasy QIAzol	NA	8.2	NA
653	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	P155	Male	VADER 191 lane 7	P155	27722485	26695459	96%	QIAgen RNeasy QIAzol	NA	8.6	NA
654	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	P155	Male	VADER 191 lane 7	P155	41197431	39238390	95%	QIAgen RNeasy QIAzol	NA	8.7	NA
764	yes	Chicken (red junglefowl)	Heart	P155	Male	WINDU 66 lane 3	P155	41152420	40128791	98%	QIAgen RNeasy QIAzol	NA	8.9	NA
782	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	P155	Female	VADER 191 lane 8	P155	38184347	36228016	95%	QIAgen RNeasy QIAzol	NA	9	NA
783	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	P155	Female	VADER 191 lane 8	P155	34736782	33112450	95%	QIAgen RNeasy QIAzol	NA	8.9	NA
